FullName,Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,BestPosition,Club,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Top_5_league
Lionel Messi,35,169,67,91,91,0,2190,452,0,Paris Saint-Germain,5,4,4,1,1,81,89,90,94,34,64,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,90,90,91,91,91,90,91,91,88,91,67,66,67,62,53,62,22,1
Karim Benzema,34,185,81,91,91,0,2147,455,3,Real Madrid CF,4,4,4,2,2,80,88,83,87,39,78,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,91,87,89,89,89,87,91,89,84,89,67,67,67,63,58,63,21,1
Robert Lewandowski,33,185,81,91,91,0,2205,458,13,FC Barcelona,5,4,4,0,2,75,91,79,86,44,83,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,91,85,88,88,88,85,88,86,83,86,67,69,67,64,63,64,22,1
Kevin De Bruyne,31,181,70,91,91,0,2303,483,4,Manchester City,4,5,4,0,0,74,88,93,87,64,77,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89,68,65,53,15,13,5,10,13,86,88,87,87,87,88,91,91,91,91,82,82,82,78,72,78,24,1
Kylian Mbappé,23,182,73,91,95,4,2177,470,13,Paris Saint-Germain,4,4,5,0,1,97,89,80,92,36,76,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,92,90,90,90,90,90,92,92,84,92,70,66,70,66,57,66,21,1
Mohamed Salah,30,175,71,90,90,0,2226,471,11,Liverpool,4,3,4,0,2,90,89,82,90,45,75,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,89,88,88,88,88,88,90,90,85,90,74,71,74,70,61,70,25,1
C. Ronaldo dos Santos Aveiro,37,187,83,90,90,0,2159,445,13,Manchester United,5,4,5,0,1,81,92,78,85,34,75,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95,24,32,24,7,11,15,14,11,90,86,88,88,88,86,88,87,81,87,65,62,65,61,56,61,23,1
Virgil van Dijk,30,193,92,90,90,0,2117,461,1,Liverpool,4,3,2,2,0,81,60,71,72,91,86,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90,92,92,86,13,10,13,11,11,74,68,70,70,70,68,73,73,79,73,83,88,83,85,90,85,23,1
Harry Kane,28,188,89,89,89,0,2193,453,13,Tottenham Hotspur,4,5,3,0,0,68,91,83,82,47,82,80,93,85,84,87,83,82,65,85,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,89,84,86,86,86,84,88,86,84,86,69,71,69,66,64,66,23,1
Neymar da Silva Santos Jr.,30,175,68,89,89,0,2157,446,7,Paris Saint-Germain,5,5,5,0,2,87,83,85,93,37,61,84,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,89,91,93,35,32,29,9,9,15,15,11,85,88,88,88,88,88,89,89,85,89,69,66,69,64,53,64,23,1
Heung Min Son,29,183,78,89,89,0,2141,456,7,Tottenham Hotspur,4,5,4,0,2,88,89,82,86,42,69,83,91,68,84,79,87,85,74,74,84,85,90,85,91,76,88,60,88,64,89,62,39,91,84,73,89,47,34,33,11,13,13,6,10,88,87,87,87,87,87,89,89,83,89,71,67,71,67,57,67,22,1
Carlos Henrique Venancio Casimiro,30,185,84,89,89,0,2209,460,2,Manchester United,3,3,2,2,0,63,73,75,72,87,90,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,84,87,88,87,13,14,16,12,12,78,71,75,75,75,71,78,76,84,76,83,89,83,84,89,84,24,1
Sadio Mané,30,174,69,89,89,0,2188,462,6,FC Bayern München,4,4,4,0,2,90,83,80,88,44,77,78,86,84,84,75,88,77,64,71,86,91,90,93,91,88,83,87,85,72,78,75,35,90,84,75,84,42,42,38,10,10,15,7,14,89,86,87,87,87,86,89,89,82,89,71,68,71,68,62,68,22,1
Joshua Kimmich,27,177,75,89,90,1,2283,473,2,FC Bayern München,4,4,3,0,2,68,72,87,84,83,79,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85,85,85,78,8,15,7,15,15,80,81,80,80,80,81,85,86,89,86,87,89,87,86,84,86,24,1
N'Golo Kanté,31,168,70,89,89,0,2154,462,2,Chelsea,4,3,2,2,0,72,66,74,81,87,82,68,65,54,82,56,78,49,49,76,81,77,68,78,93,92,71,75,95,72,65,93,91,72,77,54,84,90,93,86,15,12,10,7,10,75,76,76,76,76,76,80,81,84,81,87,89,87,87,87,87,23,1
Rúben Santos Gato Alves Dias,25,187,82,88,91,3,1894,412,1,Manchester City,3,4,2,2,0,63,39,66,68,88,88,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,81,90,89,85,7,8,13,7,12,64,59,60,60,60,59,65,67,73,67,81,86,81,83,90,83,21,1
Erling Haaland,21,195,94,88,94,6,2120,461,13,Manchester City,4,3,3,0,2,89,91,65,80,49,87,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,85,44,53,29,7,14,13,11,7,90,80,84,84,84,80,83,80,76,80,65,67,65,64,65,64,22,1
Bernardo Mota Carvalho e Silva,27,173,64,88,88,0,2185,460,0,Manchester City,2,3,4,0,0,77,78,84,92,61,68,85,79,51,89,78,92,85,67,77,91,84,71,94,87,92,79,51,93,54,78,75,60,83,85,68,90,59,71,53,9,10,14,12,9,80,86,84,84,84,86,88,88,86,88,79,77,79,75,67,75,21,1
João Pedro Cavaco Cancelo,28,182,74,88,88,0,2262,482,5,Manchester City,3,4,4,0,2,85,73,85,85,81,73,88,69,72,88,62,86,87,69,79,87,86,84,79,85,78,80,72,91,62,79,76,82,81,85,52,86,81,84,80,6,9,15,14,14,81,84,83,83,83,84,87,88,87,88,88,86,88,87,82,87,22,1
Marcos Aoás Corrêa,28,183,75,88,90,2,2082,453,1,Paris Saint-Germain,3,3,3,2,0,79,56,75,74,89,80,68,59,88,84,35,69,58,32,85,79,77,81,68,88,66,65,92,82,78,45,81,89,70,76,52,86,90,89,89,6,6,12,10,13,75,73,73,73,73,73,78,79,82,79,86,88,86,87,90,87,21,1
Toni Kroos,32,183,76,88,88,0,2147,444,4,Real Madrid CF,4,5,3,2,2,53,81,90,81,71,68,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,89,73,88,71,73,60,10,11,13,7,10,80,80,81,81,81,80,86,84,88,84,80,84,80,77,74,77,22,1
Luka Modrić,36,172,66,88,88,0,2257,464,4,Real Madrid CF,4,4,4,2,2,73,76,89,88,72,66,86,72,55,91,76,85,85,78,92,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,72,13,9,7,14,9,79,83,82,82,82,83,88,87,88,87,84,84,84,82,75,82,22,1
Antonio Rüdiger,29,190,85,87,88,1,2011,444,1,Real Madrid CF,2,3,2,0,0,82,53,71,67,86,85,68,40,82,80,34,64,50,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40,78,88,87,84,14,15,10,12,8,69,67,67,67,67,67,69,71,74,71,81,83,81,83,88,83,22,1
Rodrigo Hernández Cascante,26,191,82,87,89,2,2133,454,2,Manchester City,3,4,3,2,0,58,72,78,79,83,84,63,64,80,86,59,78,65,61,83,85,54,62,65,82,65,89,72,88,84,82,82,83,75,83,46,85,84,86,78,10,10,7,14,8,79,74,77,77,77,74,82,79,86,79,82,87,82,82,85,82,21,1
Fábio Henrique Tavares,28,188,78,87,88,1,2165,459,2,Liverpool,3,2,3,2,0,66,69,78,77,86,83,75,63,75,84,47,78,71,53,82,81,64,68,63,86,64,81,75,88,81,70,85,88,70,76,90,85,86,88,86,13,12,6,8,8,77,75,75,75,75,75,79,80,84,80,85,88,85,85,87,85,21,1
Thomas Müller,32,185,76,87,87,0,2140,443,0,FC Bayern München,4,4,3,0,0,69,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,96,86,70,84,47,57,46,6,7,11,14,14,86,83,84,84,84,83,87,86,85,86,74,74,74,72,66,72,23,1
Marco Verratti,29,165,60,87,87,0,2189,444,4,Paris Saint-Germain,3,4,4,2,0,60,61,87,91,79,66,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,74,80,79,79,79,80,86,85,87,85,85,87,85,83,80,83,24,1
Trent Alexander-Arnold,23,180,69,87,90,3,2234,467,4,Liverpool,3,4,3,0,2,76,69,89,80,80,73,92,62,69,87,63,78,87,85,91,86,76,76,73,83,73,82,66,89,66,75,71,83,78,90,55,82,79,83,80,14,15,14,6,7,78,80,79,79,79,80,85,86,88,86,87,87,87,86,81,86,22,1
Andrew Robertson,28,178,64,87,87,0,2154,461,5,Liverpool,3,2,3,0,0,80,61,81,81,82,76,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65,65,85,84,77,80,55,83,83,84,82,11,8,10,7,14,75,78,77,77,77,78,81,84,84,84,87,85,87,87,82,87,21,1
Kalidou Koulibaly,31,187,89,87,87,0,1789,415,1,Chelsea,3,4,2,2,0,82,33,59,68,88,85,38,25,84,71,14,70,53,28,67,72,74,88,51,83,34,67,82,70,94,20,83,85,35,60,33,82,90,89,86,7,11,7,13,5,62,59,60,60,60,59,64,66,69,66,78,82,78,81,87,81,20,1
Leon Goretzka,27,189,82,87,88,1,2312,492,4,FC Bayern München,4,4,3,0,2,78,82,82,83,81,86,75,82,86,86,71,84,76,75,85,86,78,78,76,87,73,85,80,86,88,86,82,86,85,84,60,82,74,84,78,13,8,15,11,9,87,83,84,84,84,83,87,86,88,86,85,87,85,85,86,85,22,1
Frenkie de Jong,25,180,74,87,92,5,2238,479,4,FC Barcelona,3,3,4,0,2,82,69,86,87,77,78,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,76,89,74,66,74,82,77,88,53,90,76,76,77,7,13,10,10,9,81,83,82,82,82,83,88,88,89,88,86,87,86,85,81,85,21,1
Thiago Alcântara,31,174,70,86,86,0,2225,451,4,Liverpool,3,3,5,2,2,61,72,87,90,72,69,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,76,60,73,80,82,75,88,75,90,68,74,74,6,11,7,9,13,77,81,80,80,80,81,86,85,86,85,81,84,81,79,76,79,21,1
Ciro Immobile,32,185,85,86,86,0,2060,434,13,Lazio,4,4,3,0,2,85,87,68,80,39,75,55,91,81,79,85,79,70,58,57,81,84,86,75,87,84,86,82,78,74,80,73,40,90,71,88,76,34,33,32,6,8,15,12,6,86,80,83,83,83,80,83,81,76,81,64,62,64,61,58,61,20,1
Romelu Lukaku,29,191,94,86,86,0,2034,437,13,Inter,4,4,3,2,1,80,85,75,77,38,82,73,88,87,78,79,82,78,66,70,78,72,86,59,86,52,87,74,67,95,75,71,27,86,75,88,82,30,41,30,8,15,14,7,10,86,80,82,82,82,80,82,82,76,82,63,62,63,60,59,60,22,1
David Alaba,30,180,78,86,86,0,2277,475,1,Real Madrid CF,4,4,3,2,2,79,71,83,80,85,77,83,63,77,89,67,77,77,85,80,85,79,79,76,88,78,82,81,74,78,78,78,87,73,78,79,85,89,84,83,5,7,14,15,9,80,79,79,79,79,79,83,83,85,83,86,86,86,86,86,86,21,1
Raheem Sterling,27,170,69,86,86,0,2102,446,7,Chelsea,4,3,4,0,2,90,80,78,86,45,67,79,82,46,83,67,86,79,72,67,84,94,86,94,91,93,78,57,79,65,80,59,30,91,80,70,77,47,53,47,15,12,12,15,9,83,85,85,85,85,85,86,86,80,86,71,67,71,68,58,68,24,1
Riyad Mahrez,31,179,67,86,86,0,2063,432,11,Manchester City,3,4,5,2,2,80,83,81,90,38,60,81,84,56,83,76,91,85,78,75,90,84,77,92,83,88,84,56,75,57,83,48,39,83,83,80,83,45,31,22,15,9,13,11,6,83,85,85,85,85,85,86,86,81,86,67,64,67,62,52,62,21,1
